Sector,Orbit,Start of Orbit,End of Orbit
61,129,2023-01-18 07:10:00,2023-01-24 20:10:00
61,129,2023-01-25 01:10:00,2023-01-30 16:55:00
61,130,2023-01-30 21:55:00,2023-02-06 16:45:00
61,130,2023-02-06 21:45:00,2023-02-12 17:35:00
62,131,2023-02-12 22:35:00,2023-02-19 09:20:00
62,131,2023-02-19 14:20:00,2023-02-25 10:20:00
62,132,2023-02-25 15:20:00,2023-03-04 01:00:00
62,132,2023-03-04 06:00:00,2023-03-10 15:50:00
63,133,2023-03-10 20:50:00,2023-03-17 16:40:00
63,133,2023-03-17 21:40:00,2023-03-23 21:35:00
63,134,2023-03-24 02:35:00,2023-03-30 14:20:00
63,134,2023-03-30 19:20:00,2023-04-06 09:45:00
64,135,2023-04-06 14:45:00,2023-04-13 14:55:00
64,135,2023-04-13 19:55:00,2023-04-20 14:05:00
64,136,2023-04-20 19:05:00,2023-04-27 17:25:00
64,136,2023-04-27 22:25:00,2023-05-04 00:45:00
65,137,2023-05-04 05:45:00,2023-05-11 11:25:00
65,137,2023-05-11 16:25:00,2023-05-18 23:35:00
65,138,2023-05-19 04:35:00,2023-05-25 18:15:00
65,138,2023-05-25 23:15:00,2023-06-01 23:10:00
66,139,2023-06-02 04:10:00,2023-06-09 09:30:00
66,139,2023-06-09 14:30:00,2023-06-16 11:35:00
66,140,2023-06-16 16:35:00,2023-06-23 14:00:00
66,140,2023-06-23 18:00:00,2023-06-30 22:25:00
67,141,2023-07-01 03:25:00,2023-07-07 14:55:00
67,141,2023-07-07 19:55:00,2023-07-14 18:10:00
67,142,2023-07-14 23:10:00,2023-07-22 05:05:00
67,142,2023-07-22 10:05:00,2023-07-28 21:40:00
68,143,2023-07-29 02:40:00,2023-08-05 06:40:00
68,143,2023-08-05 11:40:00,2023-08-11 18:40:00
68,144,2023-08-11 23:40:00,2023-08-18 12:45:00
68,144,2023-08-18 16:45:00,2023-08-25 15:30:00
69,145,2023-08-25 20:30:00,2023-08-31 16:35:00
69,145,2023-08-31 21:35:00,2023-09-07 12:00:00
69,146,2023-09-07 17:00:00,2023-09-14 00:30:00
69,146,2023-09-14 05:30:00,2023-09-20 15:30:00
87,181,2024-12-18 13:00:00,2024-12-25 00:30:00
87,181,2024-12-25 05:30:00,2024-12-31 22:45:00
87,182,2025-01-01 03:45:00,2025-01-07 23:35:00
87,182,2025-01-08 04:35:00,2025-01-14 10:40:00
88,183,2025-01-14 15:40:00,2025-01-21 06:50:00
88,183,2025-01-21 11:50:00,2025-01-28 09:30:00
88,184,2025-01-28 14:30:00,2025-02-04 21:40:00
88,184,2025-02-05 02:40:00,2025-02-11 10:20:00
89,185,2025-02-11 15:20:00,2025-02-19 01:15:00
89,185,2025-02-19 06:15:00,2025-02-26 10:50:00
89,186,2025-02-26 15:50:00,2025-03-05 05:00:00
89,186,2025-03-05 10:00:00,2025-03-12 10:50:00
90,187,2025-03-12 15:50:00,2025-03-19 04:25:00
90,187,2025-03-19 09:25:00,2025-03-26 05:45:00
90,188,2025-03-26 10:45:00,2025-04-02 16:45:00
90,188,2025-04-02 21:45:00,2025-04-09 14:00:00
# Created 2025-02-17 by roland
