ra,dec,obsid,mjd
7.60272,-62.60104,136913663,59338.648877314816
321.16033,-64.00349,144824912,59430.21425925926
14.22833,-51.87476,146323155,59447.55503472222
326.12035,-60.97795,147124390,59456.82858796296
334.78896,-42.58684,147748888,59464.05657407407
351.31206,-44.73052,150771424,59499.03962962963
39.75705,-58.18901,151526962,59507.7842824074
88.36147,-43.55822,158460552,59588.034166666665
73.707,-29.5655,159192338,59596.503912037035
101.1255,-39.83951,160502565,59611.66857638889
317.84725,-52.34418,169417493,59714.85061342592
47.10987,-59.37181,171527676,59739.27402777778
2.53865,-59.35703,174873790,59778.00219907408
32.52726,-54.5112,180149921,59839.0685300926
331.68972,-47.73709,180417964,59842.17087962963
84.23714,-47.96121,190808095,59962.42702546297
36.92984,-69.52347,199889782,60067.539143518516
-30.3436,-45.73821,200011705,60068.95028935185
-40.31249,-61.3568,201916697,60090.998807870375
8.79024,-50.33605,202320096,60095.66777777778
21.38948,-41.81148,204502524,60120.92736111111
-49.33733,-46.67186,204520069,60121.13042824074
39.95296,-42.88499,204940971,60126.00197916667
31.14721,-54.88426,205199372,60128.992731481485
48.11014,-44.423,210260914,60187.57539351852
-31.40119,-49.9456,210529839,60190.687951388885
12.92399,-64.95539,214759444,60239.64171296296
39.21442,-52.05283,215488901,60248.084502314814
-37.40061,-60.20869,215527046,60248.52599537037
18.48426,-46.44322,247907993,60623.30547453703
91.195,-48.45961,256831990,60726.59247685185
59.92104,-58.67446,256943755,60727.88605324074
329.46212,-68.21538,261022863,60775.09795138889
314.66728,-70.42216,261371409,60779.13204861111
40.44931,-52.99818,263012555,60798.126793981486
320.24877,-52.47622,263206131,60800.367256944446
42.79707,-47.88438,264493319,60815.2652662037
48.79411,-51.73978,264874600,60819.678240740745
344.36034,-56.76213,266160624,60834.56277777778
