Sector,Ecliptic Plane,Spacecraft Ecliptic Latitude,Spacecraft Ecliptic Longitude,lambda1,lambda2,beta1,beta2
1,FALSE,-54,315.8,,,,
2,FALSE,-54,343,,,,
3,FALSE,-54,10.94,,,,
4,FALSE,-54,38.48,,,,
5,FALSE,-54,65.85,,,,
6,FALSE,-54,92.85,,,,
7,FALSE,-54,119.73898,,,,
8,FALSE,-54,146.15,,,,
9,FALSE,-54,172.28,,,,
10,FALSE,-54,198.72,,,,
11,FALSE,-54,225.93,,,,
12,FALSE,-54,253.56,,,,
13,FALSE,-54,281.12,,,,
14,FALSE,85,308.30604,,,,
15,FALSE,85,334.887647,,,,
16,FALSE,85,0.880244,,,,
17,FALSE,54,26.5,,,,
18,FALSE,54,52.2,,,,
19,FALSE,54,78.4,,,,
20,FALSE,54,106,,,,
21,FALSE,54,134.9,,,,
22,FALSE,54,164.1,,,,
23,FALSE,54,192.4,,,,
24,FALSE,85,219.5,,,,
25,FALSE,85,245.6,,,,
26,FALSE,85,270.8,,,,
27,FALSE,-54,295.5,,,,
28,FALSE,-54,320.5,,,,
29,FALSE,-54,346.5,,,,
30,FALSE,-54,13.9,,,,
31,FALSE,-54,42.4,,,,
32,FALSE,-54,71.2,,,,
33,FALSE,-54,99.7,,,,
34,FALSE,-54,127.2,,,,
35,FALSE,-54,153.7,,,,
36,FALSE,-54,179.5,,,,
37,FALSE,-54,205.3,,,,
38,FALSE,-54,231.8,,,,
39,FALSE,-54,259.2,,,,
40,FALSE,85,287,,,,
41,FALSE,85,314.2,,,,
42,TRUE,0.7,14.4,,,,
43,TRUE,0.7,52.1,,,,
44,TRUE,0.7,89.6,,,,
45,TRUE,0.7,127.7,,,,
46,TRUE,0.7,155.6,,,,
47,FALSE,54,113.4,,,,
48,FALSE,54,142.7,,,,
49,FALSE,54,171.5,,,,
50,FALSE,54,199,,,,
51,FALSE,54,225,,,,
52,FALSE,85,249.9,,,,
53,FALSE,85,274.4,,,,
54,FALSE,54,299.5,,,,
55,FALSE,54,325.8,,,,
56,FALSE,55.5,351.7,,,,
57,FALSE,55.5,20,,,,
58,FALSE,55.5,48.5,,,,
59,FALSE,55.5,76.4,,,,
60,FALSE,55.5,103.1,,,,
61,FALSE,-55.5,132.1,,,,
62,FALSE,-55.5,158.1,,,,
63,FALSE,-55.5,184.5,,,,
64,FALSE,-55.5,211.4,,,,
65,FALSE,-55.5,238.7,,,,
66,FALSE,-55.5,266.3,,,,
67,FALSE,-55.5,293.6,,,,
68,FALSE,-55.5,320.1,,,,
69,FALSE,-55.5,345.8,,,,
70,TRUE,-0.7,25.7,,,,
71,TRUE,-0.7,78.3,,,,
72,TRUE,-0.7,131.5,,,,
73,FALSE,55.5,86.8,,,,
74,FALSE,83.5,114.2,,,,
75,FALSE,83.5,142,,,,
76,FALSE,83.5,170,,,,
77,FALSE,83.5,198,,,,
78,FALSE,83.5,225.6,,,,
79,FALSE,83.5,252.5,,,,
80,FALSE,55.5,278.5,,,,
81,FALSE,55.5,303.9,,,,
82,FALSE,55.5,328.9,,,,
83,FALSE,55.5,354.1,,,,
84,FALSE,55.5,19.5,,,,
85,FALSE,55.5,45.2,,,,
86,FALSE,55.5,71.6,,,,
87,FALSE,-55.5,101.9,,,,
88,FALSE,-55.5,130.3,,,,
89,FALSE,-55.5,159,,,,
90,FALSE,-55.5,187.4,,,,
91,TRUE,0.7,229.3,,,,
92,TRUE,0.7,309.7,,,,
93,FALSE,-55.5,266.8,,,,
94,FALSE,-55.5,291.7,,,,
95,FALSE,-55.5,316.4,,,,
