field,Active Intervals,sectors,ra1,ra2,dec1,dec2
winter,"[[58119.0, 60310.0], [60554.0, 60827.0]]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92]",-50.0,50.0,-70.0,-42.0
summera,"[[58832.0, 58923.0], [59215.0, 59246.0], [59563.0, 59625.0], [59884.0, 60004.0], [60554.0, 60766.0]]","[19, 20, 21, 22, 33, 34, 46, 47, 48, 58, 59, 60, 61, 62, 82, 83, 84, 85, 86, 87, 88, 89, 90]",50.0,100.0,-63.0,-28.0
summerb,"[[59154.0, 59260.0], [59519.0, 59625.0], [59884.0, 59945.0]]","[31, 32, 33, 34, 35, 44, 45, 46, 47, 48, 58, 59, 60]",0.0,50.0,-42.0,-28.0
summerc,"[[59215.0, 59335.0], [59580.0, 59684.0], [59945.0, 60018.0]]","[33, 34, 35, 36, 37, 38, 47, 48, 49, 50, 60, 61, 62, 63]",150.0,225.0,-42.0,-28.0
widea,"[[60431.0, 60615.0]]","[78, 79, 80, 81, 82, 83, 84, 85]",14.5,107.0,-28.0,-20.0
wideb,"[[60370.0, 60523.0]]","[76, 77, 78, 79, 80, 81]",-78.0,14.5,-28.0,-20.0
widec,"[[60370.0, 60615.0]]","[76, 77, 78, 79, 80, 81, 82, 83, 84, 85]",120.0,240.0,-28.0,-20.0
wided,"[[60431.0, 60615.0]]","[78, 79, 80, 81, 82, 83, 84, 85]",-85.0,0.0,-42.0,-28.0
widee,"[[60341.0, 60615.0]]","[75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85]",-110.0,-50.0,-70.0,-42.0
widef,"[[60310.0, 60401.0]]","[73, 74, 75, 76, 77]",150.0,225.0,-54.0,-42.0
wideg,"[[60249.0, 60341.0]]","[71, 72, 73, 74, 75]",50.0,150.0,-80.0,-63.0
wideh,"[[60310.0, 60370.0]]","[73, 74, 75, 76]",-80.0,50.0,-80.0,-70.0
widei,"[[60279.0, 60370.0]]","[72, 73, 74, 75, 76]",150.0,280.0,-80.0,-70.0
gal1,"[[59988.0, 60025.0], [60370.0, 60389.0]]","[62, 63, 76]",259.25,273.25,-30.5,-27.5
gal2,"[[59988.0, 60025.0], [60370.0, 60389.0]]","[62, 63, 76]",257.25,271.25,-33.5,-30.5
gal3,"[[59988.0, 60025.0], [60370.0, 60389.0]]","[62, 63, 76]",254.75,268.75,-36.5,-33.5
